ReactionSMILES	reaction name	reactionSMARTS	reacting substructures	product substructures
O=CCO.OC=CO>>O=C[C@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@:4]([O:3])[C@:2]([O:1])	
O=C[C@@H](O)CO.OC=CO>>O=C[C@H](O)[C@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@:4]([O:3])[C@:2]([O:1])	
O=C[C@H](O)CO.OC=CO>>O=C[C@H](O)[C@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@-@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@:4](-,:[O:3])[C@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@:4]([O:3])[C@:2]([O:1])	
O=CCO.OC=CO>>O=C[C@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=C[C@@H](O)CO.OC=CO>>O=C[C@H](O)[C@@H](O)[C@@H](O)CO	aldol_sugar_addition_fast_pt-t2-@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=C[C@H](O)CO.OC=CO>>O=C[C@H](O)[C@@H](O)[C@H](O)CO	aldol_sugar_addition_fast_pt-t2-@-@@	[O:1]=[$(C(=O)-,:CO)&!$(C(=O)-,:C(-,:O)C(-,:O)CO)&!$(C(=O)(-,:CO)-,:C(-,:O)CO)&!$(C(=O)-,:C(-,:O)(-,:CO)-,:CO):2].[O:3][$(C(-,:O)=CO)&!$(C(-,:CO)(-,:O)=CO)&!$(C(-,:CO)(-,:O)=C(-,:O)CO)&!$(C(-,:O)=C(-,:C(-,:CO)O)O)&!$(C(-,:O)(=CO)C(-,:O)CO):4]=[C:5][O:6]>>[O:6]=[C:5][C@:4](-,:[O:3])[C@@:2]-,:[O:1]	[O:1]=[$(C(=O)(CO))!$(C(=O)(C(O)C(O)CO))!$(C(=O)(CO)(C(O)CO))!$(C(=O)(C(O)(CO)(CO))):2].[O:3][$(C(O)=CO)!$(C(CO)(O)=CO)!$(C(CO)(O)=C(O)CO)!$(C(O)=C(C(CO)O)O)!$(C(O)(=CO)C(O)CO):4]=[C:5][O:6]	[O:6]=[C:5][C@:4]([O:3])[C@@:2]([O:1])[C:3][O:4]	
O=C[C@@H](O)CO>>C=O.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@H](O)CO>>C=O.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@@H](O)[C@H](O)CO>>O=CCO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@@H](O)[C@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@@H](O)[C@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@@H](O)[C@@H](O)CO>>O=CCO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@@H](O)[C@@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@@H](O)[C@@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@H](O)[C@H](O)CO>>O=CCO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@H](O)[C@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@H](O)[C@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@H](O)[C@@H](O)CO>>O=CCO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@H](O)[C@@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
O=C[C@H](O)[C@@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=CO	retroaldol_to_enol-t2	[O:3]=[C:2][C:1][$(C-,:CO):4][O:5]>>[C:1]=[C:2][O:3].[C:4]=[O:5]	[O:3]=[C:2][C:1][$(C(CO)):4][O:5]	[C:1]=[C:2][O:3].[C:4]=[O:5]	
C=O.O=CCO.[OH-]>>O=CO.OCCO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.C=O.[OH-]>>CO.O=CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@@H](O)CO.[OH-]>>O=CO.OCC(O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@H](O)CO.[OH-]>>O=CO.OCC(O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@@H](O)C(O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)[C@@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@H](O)[C@H](O)[C@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@H](O)[C@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)[C@@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
C=O.O=C[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>O=CO.OC[C@H](O)C(O)[C@@H](O)CO	Cannizzaro	[C&H2:1]=[O:2].[$(C=O)&!$(C(-,:O)=O)&!$(C(-,:C)(-,:C)=O):3]=[O:4].[O&-:5]>>[C&h:3][O:4].[C:1](-,:O)=[O:2]	[CH2:1]=[O:2].[$(C=O)!$(C(O)=O)!$(C(C)(C)=O):3]=[O:4].[O-:5]	[Ch:3][O:4].[C:1]([O])=[O:2]	
